AOTD #,Artist,Description,Genres,Scheduled,Stage,StartTime,EndTime,Favorited
12,Torcha,"Torcha is an American electronic music producer and DJ known for his contributions to the heavier end of bass music, particularly dubstep, riddim, and hybrid trap. Emerging from the underground bass scene, Torcha gained recognition for his forceful sound design and dynamic approach to rhythm, often combining metallic basslines with syncopated percussion and distorted midrange leads. His tracks are marked by their aggressive energy, sharp transitions, and complex layering, which place him within the modern tearout dubstep movement. Torcha’s production style also incorporates cinematic intros and halftime breakdowns, creating dramatic contrasts that heighten the impact of his drops. He has released music through various bass-oriented labels and has performed at regional bass music events, steadily building a presence within the North American dubstep community. Torcha continues to develop his sound while maintaining a focus on high-energy, structurally innovative bass music.",,Wednesday,Grove Stage,3:00pm,3:50pm,0
13,Chriso,"Chriso is an electronic music producer and DJ whose work spans dubstep, trap, and experimental bass. Rising from the underground scene, he became known for his intricate sound design, which combines glitch-inspired textures with heavy basslines and unconventional rhythmic structures. Chriso’s tracks often feature sparse yet forceful drops, syncopated percussion, and evolving arrangements that deviate from traditional verse-drop formats. His style draws on the dark tonal palettes of riddim while incorporating the percussive sharpness of trap, creating a hybrid approach that aligns him with the experimental wing of bass music. Chriso has released music on smaller bass-focused labels and has collaborated with other emerging artists, contributing to the ongoing diversification of heavy bass sounds. His live performances emphasize high-intensity mixing and rapid dynamic shifts, appealing to audiences seeking cutting-edge bass music experiences.",,Wednesday,Grove Stage,3:50pm,4:40pm,0
14,CØNTRA,"CØNTRA is an American bass music producer and DJ known for his high-energy approach to dubstep, trap, and hybrid bass. He emerged in the late 2010s, gaining attention for tracks that combine distorted basslines with cinematic atmospheres and sharply syncopated percussion. CØNTRA’s productions often feature rapid tempo changes and glitch-infused sound design, showcasing a technical precision that distinguishes his work within the heavy bass landscape. His style bridges the weight and aggression of dubstep with the rhythmic drive of trap, resulting in intense and festival-oriented compositions. CØNTRA has released music through several bass-centric labels and has performed at events across the United States, where his sets emphasize relentless energy and tightly constructed transitions. He represents a newer generation of producers pushing the boundaries of traditional dubstep structures through hybridized sound design and high-impact production.",,Wednesday,Grove Stage,4:40pm,5:30pm,0
15,Capochino,"Capochino is an American electronic music producer and DJ recognized for his work in dubstep, trap, and experimental bass. He began releasing music in the late 2010s and developed a reputation for his textured sound design and high-energy arrangements. Capochino’s tracks often combine the percussive elements of trap with the weight and distortion of dubstep, creating a style rooted in hybrid bass. His productions are characterized by syncopated rhythms, glitch-based effects, and dynamic build-ups that culminate in powerful drops. Capochino has released music on underground bass labels and has collaborated with other emerging producers, contributing to the growth of experimental bass music in North America. His live sets emphasize rapid mixing, sharp transitions, and a balance of melodic and heavy sections, reflecting his interest in blending multiple subgenres within his performances.",,Wednesday,Grove Stage,5:30pm,6:20pm,0
16,Saka,"Saka is a Hong Kong-born, Los Angeles-based electronic music producer and DJ known for his experimental approach to bass music. His work blends elements of drum and bass, breakbeat, halftime, and leftfield bass, resulting in intricate compositions that emphasize complex percussion, dynamic soundscapes, and glitch-driven textures. Saka’s tracks often incorporate evolving structures rather than conventional drop-based formats, with layered atmospheres and detailed rhythmic interplay forming the backbone of his style. He has released music on several experimental bass labels and has performed at major festivals and club events, where his sets are noted for their immersive and unpredictable nature. Saka has also collaborated with other forward-thinking producers, contributing to the global experimental bass community. His work stands out for its rhythmic complexity, emphasis on percussion-driven momentum, and integration of diverse influences, positioning him as a prominent figure in the next wave of leftfield bass music.",,Wednesday,Grove Stage,6:20pm,7:10pm,0
17,Super Future,"Super Future is an American electronic music producer and DJ known for his fusion of melodic bass, future bass, and experimental trap. Emerging in the late 2010s, he became recognized for his vibrant sound design, incorporating shimmering synth layers, heavy basslines, and intricate percussion. His music often blends emotional melodic passages with forceful drops, creating a dynamic contrast that appeals to both bass music and melodic EDM audiences. Super Future’s style draws on elements of future bass, glitch hop, and dubstep, and he frequently experiments with tempo changes and complex rhythmic structures. He has released music on a variety of electronic labels and has performed at major music festivals across the United States. Super Future’s live sets are known for their high energy and genre-spanning approach, often moving fluidly between melodic and heavy sections. He continues to develop his sound by combining technical production with vibrant, melody-driven arrangements.",,Wednesday,Grove Stage,7:10pm,8:00pm,0
18,Heyz,"Heyz is an American electronic music producer and DJ who initially gained attention in the drum and bass scene before transitioning into melodic bass and future bass. His early work featured fast-paced breakbeat rhythms and rolling basslines, while his more recent productions focus on emotive melodies, lush soundscapes, and polished vocal-driven arrangements. Heyz’s current style blends elements of future bass, melodic dubstep, and trap, creating cinematic compositions that balance emotional depth with festival-ready energy. He has released music on prominent electronic labels and has garnered support from major artists across the EDM spectrum. Heyz is noted for his detailed sound design, clean production, and ability to merge melodic sensibilities with heavy bass elements. His live performances emphasize dynamic progression, weaving between melodic builds and impactful drops, reflecting his evolution from high-tempo drum and bass roots to more melodic bass-driven sounds.",,Wednesday,Grove Stage,8:00pm,8:50pm,0
19,Jantsen,"Jantsen is an American electronic music producer and DJ recognized for his work in trap, dubstep, and hybrid bass. Emerging in the late 2000s, he became known for his energetic, funk-infused approach to heavy bass music, often combining punchy percussion with distorted basslines and melodic motifs. Jantsen’s style blends the rhythmic drive of trap with the low-end weight of dubstep, and he is known for injecting his tracks with elements of swing and groove uncommon in heavier bass genres. He has collaborated extensively with fellow bass producer Bassnectar and has released music on a variety of influential bass labels. Jantsen’s live sets are characterized by rapid transitions, high-energy pacing, and a mixture of old-school and contemporary bass influences. His distinctive approach has made him a key figure in bridging traditional dubstep and trap with more playful, groove-oriented sensibilities within the North American bass scene.",,Wednesday,Grove Stage,8:50pm,9:40pm,0
20,Trivecta,"Trivecta is an American electronic music producer and DJ known for his melodic bass, progressive house, and melodic dubstep compositions. Active since the mid-2010s, he has become recognized for his intricate melodic writing, cinematic arrangements, and polished production. Trivecta’s music often blends orchestral elements with powerful bass-driven drops, creating a sound that bridges emotional songwriting and festival-oriented energy. He has released on labels such as Monstercat and Ophelia Records, collaborating with vocalists and producers across the melodic bass and trance-adjacent spectrum. His tracks frequently feature guitar instrumentation and live-played elements, setting him apart from typical digital-only production approaches. Trivecta’s live performances emphasize melodic storytelling, smooth mixing, and a balance of uplifting and heavy moments. He is regarded as one of the leading figures in the melodic bass scene, contributing to the genre’s expansion into more progressive and cinematic territories.",,Wednesday,Grove Stage,9:40pm,10:30pm,0
21,Paper Skies,"Paper Skies is a Canadian electronic music producer and DJ whose work blends melodic bass, future bass, and melodic dubstep. Rising in the late 2010s, Paper Skies became known for emotionally rich compositions that combine lush synth layers, vocal-driven melodies, and impactful bass drops. His production style emphasizes bright, atmospheric soundscapes supported by clean percussion and intricate rhythmic details. Paper Skies frequently incorporates vocal collaborations and live instrumentation elements, giving his music a melodic and human-centered quality uncommon in traditional bass music. He has released on various melodic-focused labels and has collaborated with other artists within the future bass and melodic dubstep communities. Paper Skies’ sets emphasize uplifting energy and dynamic transitions, often moving fluidly between euphoric melodic sections and powerful bass-driven drops. His work represents the melodic side of the bass music spectrum, balancing emotional resonance with technical precision.",,Thursday,Grove Stage,1:00pm,2:00pm,0
22,Flozone,,,Thursday,Grove Stage,2:00pm,3:00pm,0
23,STVSH,,,Thursday,Grove Stage,3:00pm,4:00pm,0
24,sumthin sumthin,,,Thursday,Grove Stage,4:00pm,5:00pm,0
25,Oliverse,,,Thursday,Grove Stage,5:00pm,6:00pm,0
26,LUZCID,,,Thursday,Grove Stage,6:00pm,7:00pm,0
27,Mantis,,,Thursday,The Crater,2:00pm,3:00pm,0
28,Wood,,,Thursday,The Crater,3:00pm,4:00pm,0
29,Chassi,,,Thursday,The Crater,4:00pm,5:00pm,0
30,Automhate,,,Thursday,The Crater,5:00pm,6:00pm,0
31,Bear Grillz,,,Thursday,The Crater,6:00pm,7:00pm,0
32,B2B2B2B2B2B Pre-Party,,,Thursday,The Crater,7:00pm,11:00pm,0
33,B2B2B2B2B2B Pre-Party,,,Thursday,Prehistoric Stage,7:00pm,11:00pm,0
34,HAMRO,,,Friday,Prehistoric Stage,2:00pm,3:00pm,0
35,Badklaat,,,Friday,Prehistoric Stage,3:00pm,4:00pm,0
36,Cyclops,,,Friday,Prehistoric Stage,4:00pm,5:00pm,0
37,Calcium,,,Friday,Prehistoric Stage,5:00pm,6:00pm,0
38,Kompany,,,Friday,Prehistoric Stage,6:00pm,7:00pm,0
39,Level Up,,,Friday,Prehistoric Stage,7:00pm,8:00pm,0
40,Special Guest,,,Friday,Prehistoric Stage,8:00pm,9:00pm,0
41,Tape B,,,Friday,Prehistoric Stage,9:00pm,10:00pm,0
42,Excision (2 Hour),,,Friday,Prehistoric Stage,10:10pm,12:00am,0
43,WonkyWilla,,,Friday,Wompy Woods,2:30pm,3:30pm,0
44,"Nikita, The Wicked",,,Friday,Wompy Woods,3:30pm,4:30pm,0
45,Sippy,,,Friday,Wompy Woods,4:30pm,5:30pm,0
46,Ravenscoon,,,Friday,Wompy Woods,5:30pm,6:30pm,0
47,Zingara,,,Friday,Wompy Woods,6:30pm,7:30pm,0
48,Slander (Sunset),,,Friday,Wompy Woods,7:30pm,8:30pm,0
49,Ray Volpe,,,Friday,Wompy Woods,8:30pm,9:30pm,0
50,ARMNHMR,,,Friday,Wompy Woods,9:30pm,10:45pm,0
51,Boogie T,,,Friday,Wompy Woods,10:45pm,12:00am,0
52,VKTM,,,Friday,Wompy Woods,12:15am,1:10am,0
53,Subfiltronik,,,Friday,Wompy Woods,1:10am,2:05am,0
54,Decimate,,,Friday,Wompy Woods,2:05am,3:00am,0
55,Pyke,,,Friday,Wompy Woods,3:00am,4:00am,0
56,Hydraulix,,,Friday,The Crater,2:15pm,3:20pm,0
57,Ivory,,,Friday,The Crater,3:20pm,4:25pm,0
58,HE$H,,,Friday,The Crater,4:25pm,5:30pm,0
59,G-REX,,,Friday,The Crater,5:30pm,6:35pm,0
60,Emorfik,,,Friday,The Crater,6:35pm,7:40pm,0
61,Drinkurwater,,,Friday,The Crater,7:40pm,8:45pm,0
62,Barely Alive,,,Friday,The Crater,8:45pm,9:50pm,0
63,Chmura,,,Friday,The Crater,9:50pm,10:55pm,0
64,Daggz,,,Friday,The Crater,10:55pm,12:00pm,0
65,Surprise Takeovers,,,Friday,The Crater,12:00am,4:00am,0
66,OkayJake,,,Friday,Forest Stage,4:00pm,5:00pm,0
67,Josh Teed,,,Friday,Forest Stage,5:00pm,6:00pm,0
68,Tisoki,,,Friday,Forest Stage,6:00pm,7:00pm,0
69,Effin,,,Friday,Forest Stage,7:00pm,8:00pm,0
70,Sodown,,,Friday,Forest Stage,8:00pm,9:00pm,0
71,Wreckno,,,Friday,Forest Stage,9:00pm,10:00pm,0
72,Leotrix,,,Friday,Forest Stage,10:00pm,11:00pm,0
73,Superave,,,Friday,Forest Stage,11:00pm,12:00am,0
74,Ahee,,,Friday,Forest Stage,12:00am,1:00am,0
75,Moody Good,,,Friday,Forest Stage,1:00am,2:00am,0
76,Smith,,,Friday,Forest Stage,2:00am,3:00am,0
77,Sully,,,Friday,Forest Stage,3:00am,4:00am,0
78,Dream Takers,,,Friday,Subsidia Stage,3:00pm,4:00pm,0
79,The Arcturians,,,Friday,Subsidia Stage,4:00pm,5:00pm,0
80,NeoTek,,,Friday,Subsidia Stage,5:00pm,6:00pm,0
81,NXSTY,,,Friday,Subsidia Stage,6:00pm,7:00pm,0
82,M?stic,,,Friday,Subsidia Stage,7:00pm,8:00pm,0
83,VRG,,,Friday,Subsidia Stage,8:00pm,9:00pm,0
84,Bommer,,,Friday,Subsidia Stage,9:00pm,10:00pm,0
85,Machaki,,,Friday,Subsidia Stage,10:00pm,11:00pm,0
86,Hekler,,,Friday,Subsidia Stage,11:00pm,12:00am,0
87,LYNY,,,Friday,Subsidia Stage,12:00am,1:00am,0
88,Good Times Ahead (Trap Set),,,Friday,Subsidia Stage,1:00am,2:00am,0
89,Stööki Sound,,,Friday,Subsidia Stage,2:00am,3:00am,0
90,All The Reason,,,Friday,Subsidia Stage,3:00am,4:00am,0
91,Bella Renee,,,Friday,Raptor Valley,12:00am,1:00am,0
92,ShockOne,,,Friday,Raptor Valley,1:00am,2:00am,0
93,DieselBoy,,,Friday,Raptor Valley,2:00am,3:00am,0
94,Badvoid,,,Friday,Raptor Valley,3:00am,4:00am,0
95,Wiley,,,Saturday,Prehistoric Stage,2:00pm,3:00pm,0
96,Canabliss,,,Saturday,Prehistoric Stage,3:00pm,4:00pm,0
97,Distinct Motive,,,Saturday,Prehistoric Stage,4:00pm,5:00pm,0
98,EasyBaked,,,Saturday,Prehistoric Stage,5:00pm,5:50pm,0
99,Dion Timmer,,,Saturday,Prehistoric Stage,5:50pm,6:50pm,0
100,Eptic,,,Saturday,Prehistoric Stage,6:50pm,7:50pm,0
101,Mersiv B2B Smoakland,,,Saturday,Prehistoric Stage,7:50pm,8:50pm,0
102,Crankdat,,,Saturday,Prehistoric Stage,8:50pm,9:50pm,0
103,Wooli,,,Saturday,Prehistoric Stage,9:50pm,10:50pm,0
104,LSZEE,,,Saturday,Prehistoric Stage,11:00pm,12:00am,0
105,Prosecute,,,Saturday,Wompy Woods,2:30pm,3:30pm,0
106,Codd Dubz,,,Saturday,Wompy Woods,3:30pm,4:30pm,0
107,Vastive B2B RZRKT,,,Saturday,Wompy Woods,4:30pm,5:30pm,0
108,Funtcase,,,Saturday,Wompy Woods,5:30pm,6:30pm,0
109,Layz,,,Saturday,Wompy Woods,6:30pm,7:30pm,0
110,Illenium (Sunset),,,Saturday,Wompy Woods,7:30pm,8:30pm,0
111,Space Laces,,,Saturday,Wompy Woods,8:30pm,9:30pm,0
112,Peekaboo,,,Saturday,Wompy Woods,9:30pm,10:45pm,0
113,SVDDEN DEATH presents: Voyd,,,Saturday,Wompy Woods,10:45pm,12:00am,0
114,Stoned to Death,,,Saturday,Wompy Woods,12:15am,2:05am,0
115,Benda,,,Saturday,Wompy Woods,2:05am,3:00am,0
116,Whales,,,Saturday,Wompy Woods,3:00am,4:00am,0
117,Gunpoint,,,Saturday,The Crater,2:15pm,3:20pm,0
118,HVDES,,,Saturday,The Crater,3:20pm,4:25pm,0
119,Midnight Tryannosaurus,,,Saturday,The Crater,4:25pm,5:30pm,0
120,Alien Park,,,Saturday,The Crater,5:30pm,6:35pm,0
121,Hairitage,,,Saturday,The Crater,6:35pm,7:40pm,0
122,Samplifire,,,Saturday,The Crater,7:40pm,8:45pm,0
123,Infekt,,,Saturday,The Crater,8:45pm,9:50pm,0
124,Must Die!,,,Saturday,The Crater,9:50pm,10:55pm,0
125,Riot Ten,,,Saturday,The Crater,10:55pm,12:00am,0
126,Surprise Takeovers,,,Saturday,The Crater,12:00am,4:00am,0
127,AfterXHaven,,,Saturday,Forest Stage,4:00pm,5:00pm,0
128,Ghost in Real Life,,,Saturday,Forest Stage,5:00pm,6:00pm,0
129,Blossom (DnB Set),,,Saturday,Forest Stage,6:00pm,7:00pm,0
130,Simula,,,Saturday,Forest Stage,7:00pm,8:00pm,0
131,Modestep (DJ Set),,,Saturday,Forest Stage,8:00pm,9:00pm,0
132,Reaper,,,Saturday,Forest Stage,9:00pm,10:00pm,0
133,Koan Sound,,,Saturday,Forest Stage,10:00pm,11:00pm,0
134,Andy C,,,Saturday,Forest Stage,11:00pm,12:00pm,0
135,Ivy Lab (DnB Set),,,Saturday,Forest Stage,12:00pm,1:00am,0
136,Hedex,,,Saturday,Forest Stage,1:00am,2:00am,0
137,Venjent,,,Saturday,Forest Stage,2:00am,3:00am,0
138,Riot,,,Saturday,Forest Stage,3:00am,4:00am,0
139,Lazrus,,,Saturday,Subsidia Stage,3:00pm,4:00pm,0
140,Focuss,,,Saturday,Subsidia Stage,4:00pm,5:00pm,0
141,Phocust,,,Saturday,Subsidia Stage,5:00pm,6:00pm,0
142,Humansion,,,Saturday,Subsidia Stage,6:00pm,7:00pm,0
143,Mad Dubz,,,Saturday,Subsidia Stage,7:00pm,8:00pm,0
144,Deucez,,,Saturday,Subsidia Stage,8:00pm,9:00pm,0
145,Dr. Ushuu,,,Saturday,Subsidia Stage,9:00pm,10:00pm,0
146,Tynan,,,Saturday,Subsidia Stage,10:00pm,11:00pm,0
147,Shanghai Doom,,,Saturday,Subsidia Stage,11:00pm,12:00am,0
148,Jon Casey,,,Saturday,Subsidia Stage,12:00am,1:00am,0
149,Viperactive,,,Saturday,Subsidia Stage,1:00am,2:00am,0
150,NitePunk,,,Saturday,Subsidia Stage,2:00am,3:00am,0
151,Control Freak,,,Saturday,Subsidia Stage,3:00am,4:00am,0
152,Crystal Skies,,,Saturday,Raptor Valley,12:00pm,1:00am,0
153,Yetep,,,Saturday,Raptor Valley,1:00am,2:00am,0
154,Fairlane,,,Saturday,Raptor Valley,2:00am,3:00am,0
155,Pushing Daizies,,,Saturday,Raptor Valley,3:00am,4:00am,0
156,Kliptic,,,Sunday,Prehistoric Stage,2:00pm,2:55pm,0
157,Witching Hour,,,Sunday,Prehistoric Stage,2:55pm,3:50pm,0
158,Jkyl & Hyde,,,Sunday,Prehistoric Stage,3:50pm,4:45pm,0
159,Eliminate,,,Sunday,Prehistoric Stage,4:45pm,5:40pm,0
160,GorillaT,,,Sunday,Prehistoric Stage,5:40pm,6:35pm,0
161,Alleycvt,,,Sunday,Prehistoric Stage,6:35pm,7:30pm,0
162,Inzo,,,Sunday,Prehistoric Stage,7:30pm,8:25pm,0
163,Rezz,,,Sunday,Prehistoric Stage,8:30pm,9:30pm,0
164,Excision B2B Subtronics,,,Sunday,Prehistoric Stage,9:40pm,10:45pm,0
165,Brainrack,,,Sunday,Wompy Woods,3:00pm,4:00pm,0
166,Eater,,,Sunday,Wompy Woods,4:00pm,5:00pm,0
167,PhaseOne,,,Sunday,Wompy Woods,5:00pm,6:00pm,0
168,Jessica Audiffred,,,Sunday,Wompy Woods,6:00pm,7:00pm,0
169,Excision (Detox Set),,,Sunday,Wompy Woods,7:00pm,8:00pm,0
170,Sullivan King,,,Sunday,Wompy Woods,8:00pm,9:00pm,0
171,Atliens,,,Sunday,Wompy Woods,9:00pm,10:00pm,0
172,Dab the Sky,,,Sunday,Wompy Woods,10:00pm,11:00pm,0
173,Rated R,,,Sunday,Wompy Woods,11:15pm,12:10am,0
174,Hurtbox,,,Sunday,Wompy Woods,12:10am,1:05am,0
175,Shivers,,,Sunday,Wompy Woods,1:05am,2:00am,0
176,Nimoa,,,Sunday,Wompy Woods,2:00am,3:00am,0
177,Medicine Place,,,Sunday,The Crater,2:15pm,3:20pm,0
178,Wraz,,,Sunday,The Crater,3:30pm,4:45pm,0
179,Mythm,,,Sunday,The Crater,4:45pm,6:00pm,0
180,LouieJayXX,,,Sunday,The Crater,6:00pm,7:15pm,0
181,Space Wizard,,,Sunday,The Crater,7:15pm,8:30pm,0
182,Ghengar,,,Sunday,The Crater,8:30pm,9:45pm,0
183,Saturna,,,Sunday,The Crater,9:45pm,11:00pm,0
184,Surprise Takeovers,,,Sunday,The Crater,11:00pm,3:00am,0
185,Ryns,,,Sunday,Forest Stage,4:00pm,5:00pm,0
186,Mashbit,,,Sunday,Forest Stage,5:00pm,6:00pm,0
187,Eddie,,,Sunday,Forest Stage,6:00pm,7:00pm,0
188,One True God,,,Sunday,Forest Stage,7:00pm,8:00pm,0
189,Badger,,,Sunday,Forest Stage,8:00pm,9:00pm,0
190,Bijou,,,Sunday,Forest Stage,9:00pm,10:00pm,0
191,Nostalgix,,,Sunday,Forest Stage,10:00pm,11:00pm,0
192,Acraze,,,Sunday,Forest Stage,11:00pm,12:00pm,0
193,Stumpi,,,Sunday,Forest Stage,12:00pm,1:00am,0
194,Deadroom,,,Sunday,Forest Stage,1:00am,2:00am,0
195,JSTJR,,,Sunday,Forest Stage,2:00am,3:00am,0
196,TwoPercent,,,Sunday,Subsidia Stage,4:00pm,5:00pm,0
197,Hexxa,,,Sunday,Subsidia Stage,5:00pm,6:00pm,0
198,ScareXX,,,Sunday,Subsidia Stage,6:00pm,7:00pm,0
199,VLCN,,,Sunday,Subsidia Stage,7:00pm,8:00pm,0
200,PerryWayne,,,Sunday,Subsidia Stage,8:00pm,9:00pm,0
201,Freaky,,,Sunday,Subsidia Stage,9:00pm,10:00pm,0
202,Ruvlo,,,Sunday,Subsidia Stage,10:00pm,11:00pm,0
203,Justin Hawkes,,,Sunday,Subsidia Stage,11:00pm,12:00pm,0
204,Sota,,,Sunday,Subsidia Stage,12:00pm,1:00am,0
205,Liquid Smoak,,,Sunday,Subsidia Stage,1:00am,2:00am,0
206,Yosuf,,,Sunday,Raptor Valley,11:00pm,12:00pm,0
207,AudioFreq,,,Sunday,Raptor Valley,12:00pm,1:00am,0
